2025-09-02 11:10 | fix typo in readme
2025-09-06 12:24 | update config
2025-09-15 10:21 | add small improvements
2025-09-15 18:33 | update docs
2025-09-16 15:22 | update dependencies
2025-09-19 11:28 | update dependencies
2025-09-19 17:56 | add small improvements
2025-09-27 16:11 | update docs
2025-10-04 11:39 | update dependencies
2025-10-04 13:52 | fix typo in readme
2025-10-04 15:58 | fix typo in readme
2025-10-07 10:41 | bump version
2025-10-07 13:24 | fix lint warnings
2025-10-07 18:35 | fix lint warnings
2025-10-13 15:13 | update docs
2025-10-13 16:30 | fix lint warnings
2025-10-13 18:42 | small tweak
2025-10-18 10:18 | fix typo in readme
2025-10-18 14:12 | fix formatting
2025-10-19 10:25 | fix typo in readme
2025-10-19 16:09 | add small improvements
2025-10-19 16:43 | refactor: clean up utils
2025-10-19 18:13 | update dependencies
2025-10-23 12:43 | update dependencies
2025-10-23 14:57 | bump version
2025-10-24 10:21 | refactor: clean up utils
2025-10-24 15:41 | small tweak
2025-10-24 17:38 | fix formatting
2025-10-25 15:00 | refactor: clean up utils
2025-10-25 15:05 | bump version
2025-10-25 17:35 | update dependencies
2025-10-27 11:44 | cleanup
2025-10-27 13:43 | update config
2025-10-27 14:42 | update config
2025-10-27 16:25 | fix formatting
2025-10-28 14:45 | bump version
2025-10-28 16:54 | minor fix
2025-10-31 11:24 | add small improvements
2025-10-31 18:01 | update docs
2025-11-01 13:59 | add small improvements
2025-11-01 15:56 | update config
2025-11-01 16:45 | bump version
2025-11-03 12:39 | update docs
2025-11-03 12:48 | add small improvements
2025-11-03 17:51 | refactor: clean up utils
2025-11-05 11:04 | refactor: clean up utils
2025-11-05 14:02 | refactor: clean up utils
2025-11-05 14:35 | update config
2025-11-05 16:20 | cleanup
2025-11-09 15:41 | update docs
2025-11-09 18:52 | refactor: clean up utils
2025-11-11 10:44 | fix typo in readme
2025-11-11 16:09 | fix typo in readme
2025-11-13 13:46 | bump version
2025-11-13 14:10 | update config
2025-11-13 14:39 | minor fix
2025-11-13 14:56 | fix typo in readme
2025-11-15 10:13 | cleanup
2025-11-15 14:04 | small tweak
2025-11-15 18:08 | fix lint warnings
2025-11-16 11:52 | update docs
2025-11-16 13:55 | refactor: clean up utils
2025-11-16 18:54 | fix typo in readme
2025-11-17 10:03 | update config
2025-11-17 15:00 | fix typo in readme
2025-11-17 17:07 | update config
2025-11-18 11:44 | update docs
2025-11-18 14:45 | update dependencies
2025-11-18 15:13 | small tweak
2025-11-18 17:04 | update docs
2025-11-20 12:39 | bump version
2025-11-20 13:55 | refactor: clean up utils
2025-11-20 14:29 | fix formatting
